Date,SPY,QQQ,TLT,GLD,EEM,IWM,VNQ,LQD
2020-08-24,0.07880474,0.063759305,0.37529546,0.13433199,0.036167733,0.049595784,0.034487706,0.22755726
2020-08-25,0.078846015,0.06375148,0.37513393,0.13437958,0.036166962,0.04962293,0.034479305,0.22761974
2020-08-26,0.07887419,0.06376159,0.37500566,0.1344241,0.036176383,0.049637035,0.034483273,0.22763775
2020-08-27,0.07893669,0.063775055,0.37495202,0.13432048,0.03621357,0.049726654,0.034583565,0.22749206
2020-08-28,0.07887032,0.06380306,0.37493876,0.13440135,0.036213152,0.049666766,0.034531146,0.22757553
2020-08-31,0.07889507,0.06374006,0.37518615,0.13431205,0.03615808,0.049665682,0.034518834,0.22752404
2020-09-01,0.07886186,0.06377934,0.37508932,0.13436434,0.036191735,0.049635842,0.034514174,0.22756334
2020-09-02,0.07885312,0.06376385,0.3751476,0.13436513,0.036188085,0.049606573,0.03450457,0.22757109
2020-09-03,0.07872424,0.06359984,0.37629434,0.13412873,0.03594355,0.049392723,0.03430801,0.22760855
2020-09-04,0.07873945,0.063605,0.3761676,0.1342009,0.035942543,0.049420487,0.034286927,0.22763711
2020-09-08,0.0786798,0.063576825,0.37641403,0.13414408,0.035899837,0.04935453,0.03424717,0.22768381
2020-09-09,0.07870309,0.06362766,0.37599042,0.13428389,0.03596485,0.04942284,0.03426592,0.2277413
2020-09-10,0.078698404,0.063572064,0.3762529,0.13420899,0.035891492,0.04937884,0.034212653,0.2277847
2020-09-11,0.07871569,0.063607946,0.37613702,0.134233,0.03592206,0.04941078,0.03425055,0.22772293
2020-09-14,0.078670785,0.06360407,0.3761819,0.13424896,0.03592105,0.04939461,0.034224242,0.22775438
2020-09-15,0.07868548,0.06360389,0.37628698,0.13426533,0.035900444,0.049371198,0.03420272,0.22768393
2020-09-16,0.07869164,0.06359229,0.37636784,0.1342065,0.035883144,0.049362585,0.034218665,0.2276774
2020-09-17,0.07873369,0.0636475,0.3761948,0.13424376,0.03590788,0.049394727,0.03425401,0.22762354
2020-09-18,0.07867161,0.06362122,0.37642416,0.13421558,0.035864223,0.0493508,0.034206003,0.22764637
2020-09-21,0.078570575,0.06350125,0.3769957,0.13416272,0.035733286,0.049209666,0.034044776,0.22778195
2020-09-22,0.078629404,0.063554,0.3766179,0.1342153,0.03582392,0.04928576,0.03412927,0.22774443
2020-09-23,0.078525916,0.06342261,0.37727603,0.13407794,0.035689376,0.04913599,0.03399465,0.22787744
2020-09-24,0.07854632,0.063406505,0.37707782,0.13416263,0.035705127,0.049177613,0.033977248,0.22794673
2020-09-25,0.07857426,0.06341911,0.3769397,0.13417764,0.035729293,0.049200524,0.03400101,0.22795841
2020-09-28,0.078546934,0.06340614,0.37705222,0.13413155,0.03572412,0.049175285,0.03400028,0.22796339
2020-09-29,0.078548476,0.063397475,0.37722638,0.13411616,0.035690323,0.049141444,0.033978865,0.2279009
2020-09-30,0.07857903,0.063441224,0.37691137,0.13417321,0.03575118,0.049216136,0.034027997,0.22789988
2020-10-01,0.07858733,0.063439235,0.37685847,0.1341703,0.035751686,0.049213275,0.034030866,0.22794886
2020-10-02,0.07866879,0.06348672,0.37662706,0.13417545,0.035814423,0.04926827,0.034121946,0.22783731
2020-10-05,0.078646824,0.0635244,0.37651825,0.1341933,0.03583371,0.049290735,0.03413402,0.22785872
2020-10-06,0.07870547,0.063573405,0.3764297,0.13420175,0.035851873,0.04931274,0.0341843,0.2277407
