,net_return
2009-10-22,0.00808836321457725
2009-10-23,-0.0092724048193438
2009-10-26,-0.008915499733993838
2009-10-27,-0.005278121371758706
2009-10-28,-0.022315577366953113
2009-10-29,0.019291607387518936
2009-10-30,-0.0159789099607581
2009-11-02,0.00398529488574655
2009-11-03,0.005833811583140712
2009-11-04,-0.001586999749196938
2009-11-05,0.014528011691993
2009-11-06,-9.972815238136273e-05
2009-11-09,0.019524152434750662
2009-11-10,-0.0020413900451222372
2009-11-11,0.008056310563084887
2009-11-12,-0.010240436699251438
2009-11-13,0.009387832083841901
2009-11-16,0.01659822901053825
2009-11-17,-0.0008648416832721255
2009-11-18,-0.0005995088004388132
2009-11-19,-0.011563172708817612
2009-11-20,-0.0025447099409237873
2009-11-23,0.011221551960560325
2009-11-24,-0.0016191227745764496
2009-11-25,0.005983800755958762
2009-11-27,-0.017592115206559313
2009-11-30,0.009007332045834876
2009-12-01,0.009934576959306676
2009-12-02,0.006155138162476162
2009-12-03,-0.007461672061531425
2009-12-04,0.002023746816479725
2009-12-07,-0.004938061820071526
2009-12-08,-0.007897697956838463
2009-12-09,0.0004090132942170747
2009-12-10,-0.00030189537719877503
2009-12-11,0.0013588017100710373
2009-12-14,0.00888722653236975
2009-12-15,-0.005671048713461162
2009-12-16,0.004672434379349437
2009-12-17,-0.011123355829503724
2009-12-18,0.0061611491978088
2009-12-21,0.0006713777864900126
2009-12-22,0.002777230880840925
2009-12-23,0.0063353120794852
2009-12-24,0.005473299859634812
2009-12-28,0.0012764513564200498
2009-12-29,-0.0031334110713492624
2009-12-30,0.0013273001255816
2009-12-31,-0.0059117388544795
2010-01-04,0.013440012155374763
2010-01-05,0.0019499565613965253
2010-01-06,-0.0007576393244225372
2010-01-07,0.001732437470133275
2010-01-08,0.00302150078676535
2010-01-11,0.0007178429314827751
2010-01-12,-0.008523189064518988
2010-01-13,0.006280223788094399
2010-01-14,0.0032128465474011497
2010-01-15,-0.007696224700306224
2010-01-19,0.0113534485047072
2010-01-20,-0.011116152394725213
2010-01-21,-0.014051154402485
2010-01-22,-0.01542945373457855
2010-01-25,0.002771188171885256
2010-01-26,-0.005648635478803574
2010-01-27,0.001966057500386938
2010-01-28,-0.009119688744851874
2010-01-29,-0.005750977919177499
2010-02-01,0.011427326519784911
2010-02-02,0.008357463945664887
2010-02-03,-0.005636537708448363
2010-02-04,-0.025463049481166664
2010-02-05,0.00293013809097675
2010-02-08,-0.0075571589403825995
2010-02-09,0.008261855949236188
2010-02-10,-0.0028156646602598375
